mean =    160.0, width =    160.0, lognormal, with 500000 sections - arithmetic 
   D_low       D_mid        D_up       Na_obs   Nv_recovered
 0.0000E+00  1.2500E+01  2.5000E+01  2.5468E+00  9.3902E-02
 2.5000E+01  3.7500E+01  5.0000E+01  6.0868E+00  1.4752E-01
 5.0000E+01  6.2500E+01  7.5000E+01  7.3422E+00  1.4282E-01
 7.5000E+01  8.7500E+01  1.0000E+02  7.3188E+00  1.1977E-01
 1.0000E+02  1.1250E+02  1.2500E+02  6.7541E+00  9.5097E-02
 1.2500E+02  1.3750E+02  1.5000E+02  6.0431E+00  7.5485E-02
 1.5000E+02  1.6250E+02  1.7500E+02  5.3027E+00  5.9648E-02
 1.7500E+02  1.8750E+02  2.0000E+02  4.6074E+00  4.6991E-02
 2.0000E+02  2.1250E+02  2.2500E+02  3.9967E+00  3.7456E-02
 2.2500E+02  2.3750E+02  2.5000E+02  3.4626E+00  3.0020E-02
 2.5000E+02  2.6250E+02  2.7500E+02  3.0033E+00  2.4232E-02
 2.7500E+02  2.8750E+02  3.0000E+02  2.6104E+00  1.9832E-02
 3.0000E+02  3.1250E+02  3.2500E+02  2.2670E+00  1.6133E-02
 3.2500E+02  3.3750E+02  3.5000E+02  1.9789E+00  1.3289E-02
 3.5000E+02  3.6250E+02  3.7500E+02  1.7330E+00  1.1095E-02
 3.7500E+02  3.8750E+02  4.0000E+02  1.5178E+00  9.1693E-03
 4.0000E+02  4.1250E+02  4.2500E+02  1.3384E+00  7.7737E-03
 4.2500E+02  4.3750E+02  4.5000E+02  1.1787E+00  6.5353E-03
 4.5000E+02  4.6250E+02  4.7500E+02  1.0417E+00  5.5194E-03
 4.7500E+02  4.8750E+02  5.0000E+02  9.2420E-01  4.7228E-03
 5.0000E+02  5.1250E+02  5.2500E+02  8.2007E-01  4.0292E-03
 5.2500E+02  5.3750E+02  5.5000E+02  7.2972E-01  3.4164E-03
 5.5000E+02  5.6250E+02  5.7500E+02  6.5415E-01  2.9930E-03
 5.7500E+02  5.8750E+02  6.0000E+02  5.8438E-01  2.5797E-03
 6.0000E+02  6.1250E+02  6.2500E+02  5.2366E-01  2.2139E-03
 6.2500E+02  6.3750E+02  6.5000E+02  4.7229E-01  1.9631E-03
 6.5000E+02  6.6250E+02  6.7500E+02  4.2414E-01  1.6966E-03
 6.7500E+02  6.8750E+02  7.0000E+02  3.8294E-01  1.4804E-03
 7.0000E+02  7.1250E+02  7.2500E+02  3.4715E-01  1.3158E-03
 7.2500E+02  7.3750E+02  7.5000E+02  3.1416E-01  1.1627E-03
 7.5000E+02  7.6250E+02  7.7500E+02  2.8434E-01  1.0182E-03
 7.7500E+02  7.8750E+02  8.0000E+02  2.5842E-01  9.0084E-04
 8.0000E+02  8.1250E+02  8.2500E+02  2.3533E-01  8.0280E-04
 8.2500E+02  8.3750E+02  8.5000E+02  2.1448E-01  7.0781E-04
 8.5000E+02  8.6250E+02  8.7500E+02  1.9644E-01  6.4838E-04
 8.7500E+02  8.8750E+02  9.0000E+02  1.7855E-01  5.6838E-04
 9.0000E+02  9.1250E+02  9.2500E+02  1.6327E-01  5.0816E-04
 9.2500E+02  9.3750E+02  9.5000E+02  1.4955E-01  4.5238E-04
 9.5000E+02  9.6250E+02  9.7500E+02  1.3751E-01  4.1283E-04
 9.7500E+02  9.8750E+02  1.0000E+03  1.2600E-01  3.6737E-04
 1.0000E+03  1.0125E+03  1.0250E+03  1.1597E-01  3.3273E-04
 1.0250E+03  1.0375E+03  1.0500E+03  1.0675E-01  3.0068E-04
 1.0500E+03  1.0625E+03  1.0750E+03  9.8365E-02  2.7296E-04
 1.0750E+03  1.0875E+03  1.1000E+03  9.0610E-02  2.4768E-04
 1.1000E+03  1.1125E+03  1.1250E+03  8.3478E-02  2.2209E-04
