mean =    160.0, width =    160.0, lognormal, with 500000 sections - geometric  
   D_low       D_mid        D_up       Na_obs   Nv_recovered
 2.1739E+01  2.3313E+01  2.5000E+01  7.9510E-04  2.5262E-02
 2.5000E+01  2.6810E+01  2.8750E+01  9.6422E-04  2.5660E-02
 2.8750E+01  3.0830E+01  3.3062E+01  1.1968E-03  2.9237E-02
 3.3063E+01  3.5456E+01  3.8022E+01  1.4789E-03  3.3118E-02
 3.8022E+01  4.0774E+01  4.3725E+01  1.8316E-03  3.9157E-02
 4.3725E+01  4.6890E+01  5.0284E+01  2.2310E-03  4.4721E-02
 5.0284E+01  5.3924E+01  5.7827E+01  2.6832E-03  5.0271E-02
 5.7826E+01  6.2012E+01  6.6500E+01  3.1873E-03  5.6185E-02
 6.6501E+01  7.1314E+01  7.6476E+01  3.7002E-03  6.0244E-02
 7.6476E+01  8.2011E+01  8.7947E+01  4.2294E-03  6.3711E-02
 8.7948E+01  9.4314E+01  1.0114E+02  4.7303E-03  6.5317E-02
 1.0114E+02  1.0846E+02  1.1631E+02  5.2015E-03  6.6226E-02
 1.1631E+02  1.2473E+02  1.3376E+02  5.5534E-03  6.4140E-02
 1.3376E+02  1.4344E+02  1.5382E+02  5.8206E-03  6.1147E-02
 1.5382E+02  1.6495E+02  1.7689E+02  5.9509E-03  5.6669E-02
 1.7690E+02  1.8970E+02  2.0343E+02  5.9200E-03  5.0713E-02
 2.0343E+02  2.1815E+02  2.3394E+02  5.7599E-03  4.4351E-02
 2.3394E+02  2.5087E+02  2.6903E+02  5.4722E-03  3.7871E-02
 2.6903E+02  2.8851E+02  3.0939E+02  5.0520E-03  3.1244E-02
 3.0938E+02  3.3178E+02  3.5579E+02  4.5556E-03  2.5182E-02
 3.5579E+02  3.8154E+02  4.0916E+02  3.9976E-03  1.9702E-02
 4.0917E+02  4.3878E+02  4.7054E+02  3.4157E-03  1.4984E-02
 4.7054E+02  5.0460E+02  5.4112E+02  2.8387E-03  1.1045E-02
 5.4112E+02  5.8029E+02  6.2229E+02  2.3068E-03  7.9853E-03
 6.2229E+02  6.6733E+02  7.1563E+02  1.8128E-03  5.5432E-03
 7.1563E+02  7.6742E+02  8.2297E+02  1.3964E-03  3.7857E-03
 8.2297E+02  8.8254E+02  9.4642E+02  1.0426E-03  2.4957E-03
 9.4643E+02  1.0149E+03  1.0884E+03  7.6057E-04  1.6112E-03
 1.0883E+03  1.1671E+03  1.2516E+03  5.3726E-04  1.0036E-03
 1.2517E+03  1.3422E+03  1.4394E+03  3.6991E-04  6.0918E-04
 1.4394E+03  1.5436E+03  1.6553E+03  2.4774E-04  3.5905E-04
 1.6553E+03  1.7751E+03  1.9036E+03  1.6213E-04  2.0732E-04
 1.9036E+03  2.0413E+03  2.1891E+03  1.0258E-04  1.1538E-04
 2.1891E+03  2.3476E+03  2.5175E+03  6.3127E-05  6.2335E-05
 2.5175E+03  2.6997E+03  2.8951E+03  3.7994E-05  3.2998E-05
 2.8951E+03  3.1047E+03  3.3294E+03  2.2185E-05  1.6920E-05
 3.3294E+03  3.5704E+03  3.8288E+03  1.2619E-05  8.4585E-06
 3.8288E+03  4.1059E+03  4.4031E+03  6.9515E-06  4.0867E-06
 4.4031E+03  4.7218E+03  5.0636E+03  3.7308E-06  1.9231E-06
 5.0636E+03  5.4301E+03  5.8231E+03  1.9499E-06  8.8110E-07
 5.8231E+03  6.2446E+03  6.6966E+03  9.9243E-07  3.9329E-07
 6.6966E+03  7.1813E+03  7.7011E+03  4.8971E-07  1.6991E-07
 7.7010E+03  8.2584E+03  8.8562E+03  2.3589E-07  7.1745E-08
 8.8565E+03  9.4976E+03  1.0185E+04  1.0999E-07  2.9259E-08
 1.0184E+04  1.0921E+04  1.1712E+04  5.0165E-08  1.1693E-08
 1.1712E+04  1.2560E+04  1.3469E+04  2.2136E-08  4.5137E-09
 1.3470E+04  1.4444E+04  1.5490E+04  9.5100E-09  1.6960E-09
 1.5490E+04  1.6611E+04  1.7813E+04  3.9799E-09  6.2085E-10
 1.7813E+04  1.9102E+04  2.0485E+04  1.6186E-09  2.2081E-10
 2.0485E+04  2.1968E+04  2.3558E+04  6.3946E-10  7.6237E-11
 2.3557E+04  2.5262E+04  2.7091E+04  2.4626E-10  2.5670E-11
 2.7091E+04  2.9052E+04  3.1155E+04  9.2019E-11  8.3829E-12
 3.1155E+04  3.3410E+04  3.5828E+04  3.3402E-11  2.6574E-12
 3.5829E+04  3.8422E+04  4.1203E+04  1.1826E-11  8.2224E-13
 4.1203E+04  4.4185E+04  4.7383E+04  4.0576E-12  2.4629E-13
 4.7383E+04  5.0812E+04  5.4490E+04  1.3580E-12  7.1988E-14
 5.4490E+04  5.8434E+04  6.2664E+04  4.4152E-13  2.0436E-14
 6.2664E+04  6.7200E+04  7.2064E+04  1.3952E-13  5.6377E-15
 7.2063E+04  7.7279E+04  8.2873E+04  4.2840E-14  1.5106E-15
 8.2873E+04  8.8871E+04  9.5304E+04  1.2815E-14  3.9440E-16
 9.5304E+04  1.0220E+05  1.0960E+05  3.7246E-15  1.0006E-16
 1.0960E+05  1.1753E+05  1.2604E+05  1.0491E-15  2.4576E-17
 1.2604E+05  1.3517E+05  1.4495E+05  2.8881E-16  5.9039E-18
 1.4495E+05  1.5544E+05  1.6669E+05  7.7111E-17  1.3751E-18
 1.6669E+05  1.7875E+05  1.9169E+05  1.9995E-17  3.1095E-19
 1.9169E+05  2.0556E+05  2.2044E+05  5.0490E-18  6.8481E-20
 2.2044E+05  2.3640E+05  2.5351E+05  1.2383E-18  1.4640E-20
 2.5351E+05  2.7186E+05  2.9154E+05  2.9658E-19  3.0585E-21
 2.9154E+05  3.1264E+05  3.3527E+05  6.8778E-20  6.1843E-22
 3.3527E+05  3.5954E+05  3.8556E+05  1.5490E-20  1.2138E-22
 3.8556E+05  4.1346E+05  4.4339E+05  3.4062E-21  2.3275E-23
 4.4339E+05  4.7548E+05  5.0990E+05  7.2470E-22  4.3147E-24
 5.0990E+05  5.4681E+05  5.8639E+05  1.5059E-22  7.8152E-25
 5.8638E+05  6.2883E+05  6.7434E+05  3.0374E-23  1.3738E-25
 6.7435E+05  7.2316E+05  7.7550E+05  5.9502E-24  2.3447E-26
 7.7550E+05  8.3163E+05  8.9182E+05  1.1373E-24  3.9064E-27
 8.9183E+05  9.5638E+05  1.0256E+06  2.1025E-25  6.2911E-28
 1.0256E+06  1.0998E+06  1.1794E+06  3.7924E-26  9.8943E-29
 1.1794E+06  1.2648E+06  1.3563E+06  6.6035E-27  1.5089E-29
 1.3563E+06  1.4545E+06  1.5598E+06  1.0667E-27  2.2370E-30
