mean =    160.0, width =    160.0, lognormal, with 500000 sections - arithmetic spacing
     Dj        Na      Nv_orig
2.5000E+01 1.3474E+01 9.9241E-02
5.0000E+01 3.2138E+01 1.5879E-01
7.5000E+01 3.8611E+01 1.5159E-01
1.0000E+02 3.8266E+01 1.2703E-01
1.2500E+02 3.5023E+01 1.0201E-01
1.5000E+02 3.0994E+01 8.0847E-02
1.7500E+02 2.6784E+01 6.3978E-02
2.0000E+02 2.2814E+01 5.0811E-02
2.2500E+02 1.9270E+01 4.0590E-02
2.5000E+02 1.6102E+01 3.2644E-02
2.7500E+02 1.3298E+01 2.6437E-02
3.0000E+02 1.0797E+01 2.1559E-02
3.2500E+02 8.4829E+00 1.7699E-02
3.5000E+02 6.3097E+00 1.4624E-02
3.7500E+02 4.0807E+00 1.2156E-02
